Node,Nid,Billing Reference,Child's Name,Billing Discount,Pre-Booked Session,Pre-Booked Duration (h),Pre-Booked Charged Duration,Pre-Booked FE,Pre-Booked Childcare Charge,Pre-Booked Away Discount,Pre-Booked Billing Discount,Pre-Booked TTO Surcharge,Pre-Booked Late Change Surcharge,Pre-Booked Services Charge,Pre-Booked Booking Charge,Booked Session,Booked Duration (h),Actual Attendance,Free Entitlement,Charged Duration,Childcare Charge,Unscheduled Charge,Away Discount,Billing Discount,TTO Surcharge,Late Change Surcharge,Services Charge,Booking Charge,Billing Adjustment,Childcare Setting
196491-240422,240422,GARRETT,"Garrett, Darcie",0.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,10,0,81,0,0,0,0,5.99,86.99,01/11/2022 - 8:00am to 6:00pm,10,01/11/2022 - 8:36am to 4:02pm,0,10,81,0,0,0,0,0,5.99,86.99,0,Norto5 KIDZ - West End Farm
234429-240520,240520,GREENER_JONES,"Greener-Jones , Isla ",0.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,3.41,88.41,01/11/2022 - 8:00am to 6:00pm,10,01/11/2022 - 8:07am to 5:48pm,0,10,85,0,0,0,0,0,3.41,88.41,0,Norto5 KIDZ - West End Farm
182193-240717,240717,KANE,"Kane, Dylan",0.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,0.5,9.5,4.35,0,0,0,0,5.99,10.34,01/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,9.5,0.5,4.35,0,0,0,0,0,5.99,10.34,0,KIDZ Academy - Cuckfield
239865-240947,240947,PERRY,"Perry, Alesha",0.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,7.5,2.5,65.25,0,0,4.57,0,1.44,71.26,01/11/2022 - 8:00am to 6:00pm,10,01/11/2022 - 8:44am to 3:42pm,2.5,7.5,65.25,0,0,0,4.57,0,5.99,75.81,4.55,KIDZ Academy - Lindfield
235930-241042,241042,RIAZ,"Riaz, Aaron",0.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,3.41,88.41,01/11/2022 - 8:00am to 6:00pm,10,01/11/2022 - 8:09am to 5:48pm,0,10,85,0,0,0,0,0,3.41,88.41,0,Norto5 KIDZ - Lindfield Lodge
216099-241078,241078,SLATER,"Slater, Luca",0.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,3.41,88.41,01/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-88.41,Norto5 KIDZ - Lindfield Lodge
154848-241186,241186,TAYLOR02,"Taylor, Maggie",0.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,10,0,74,0,0,0,0,5.99,79.99,01/11/2022 - 8:00am to 6:00pm,10,01/11/2022 - 8:17am to 5:48pm,0,10,74,0,0,0,0,0,5.99,79.99,0,Norto5 KIDZ - Lindfield Lodge
223656-241189,241189,TOONE,"Toone, Jacob ",0.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,5.95,0,3.41,94.36,01/11/2022 - 8:00am to 6:00pm,10,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-94.36,Norto5 KIDZ - West End Farm
220914-241200,241200,TRACY,"Tracy, Jack",0.00%,"Tuesday, 1 November 2022 - 8:00am to 2:00pm",6,6,0,60,0,0,0,0,2.25,62.25,01/11/2022 - 8:00am to 2:00pm,6,01/11/2022 - 8:18am to 1:11pm,0,6,60,0,0,0,0,0,2.25,62.25,0,Norto5 KIDZ - West End Farm
208663-241254,241254,WALKER,"Walker, Charlotte",5.00%,"Tuesday, 1 November 2022 - 8:00am to 4:30pm",8.5,8.5,0,85,0,-4.25,0,0,3.41,84.16,01/11/2022 - 8:00am to 3:30pm,7.5,01/11/2022 - 8:27am to 3:31pm,0,7.5,75,0,0,-3.75,0,0,2.25,73.5,-10.66,KIDZ Academy - Cuckfield
179983-241370,241370,WOOD,"Wood, Olivia",0.00%,"Tuesday, 1 November 2022 - 8:00am to 1:00pm",5,5,0,48.25,0,0,0,0,4.55,52.8,01/11/2022 - 8:00am to 1:00pm,5,01/11/2022 - 8:10am to 12:59pm,0,5,48.25,0,0,0,0,0,4.55,52.8,0,Norto5 KIDZ - Lindfield Lodge
242874-243210,243210,CORCORAN,"Corcoran, Arthur",5.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,10,0,81,0,-4.05,0,0,1.44,78.39,01/11/2022 - 8:00am to 6:00pm,10,01/11/2022 - 8:10am to 5:36pm,0,10,81,0,0,-4.05,0,0,1.44,78.39,0,KIDZ Academy - Cuckfield
242875-243219,243219,CORCORAN,"Corcoran, Maeve",0.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,10,0,85,0,0,0,0,1.16,86.16,01/11/2022 - 8:00am to 6:00pm,10,01/11/2022 - 8:10am to 5:36pm,0,10,85,0,0,0,0,0,1.16,86.16,0,KIDZ Academy - Cuckfield
210725-243880,243880,PETKOVA,"Petkova, Angelica",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,01/11/2022 - 8:00am to 1:30pm,5.5,01/11/2022 - 8:14am to 1:30pm,5.5,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
242543-244018,244018,SIMMONS,"Simmons, Aurora",0.00%,"Tuesday, 1 November 2022 - 8:00am to 1:00pm",5,5,0,50,0,0,3.5,0,2.25,55.75,01/11/2022 - 8:00am to 1:00pm,5,01/11/2022 - 9:40am to 1:00pm,0,5,50,0,0,0,0,0,2.25,52.25,-3.5,KIDZ Academy - Lindfield
231197-244210,244210,WATERS,"Waters, Amber",0.00%,"Tuesday, 1 November 2022 - 8:00am to 6:00pm",10,0,10,0,0,0,0,0,0,0,01/11/2022 - 8:00am to 6:00pm,10,01/11/2022 - 9:17am to 5:24pm,10,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - West End Farm
193474-244617,244617,MISSURE,"Missure, Emanuele",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,01/11/2022 - 8:00am to 6:00pm,10,01/11/2022 - 8:09am to 5:48pm,0,10,85,0,0,0,0,0,3.41,88.41,88.41,Norto5 KIDZ - Lindfield Lodge
129152-245104,245104,WILLIS,"Willis, Harrison",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,01/11/2022 - 8:00am to 6:00pm,10,01/11/2022 - 8:17am to 5:48pm,6,4,34.8,0,0,0,0,0,5.99,40.79,40.79,Norto5 KIDZ - Lindfield Lodge
235925-240005,240005,BERENDE,"Berende, Darius",5.00%,"Tuesday, 1 November 2022 - 8:30am to 2:30pm",6,0,6,0,0,0,0,0,0,0,01/11/2022 - 8:30am to 2:30pm,6,01/11/2022 - 8:27am to 2:31pm,6,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
193662-240162,240162,CANNINGS,"Cannings, Lucas",0.00%,"Tuesday, 1 November 2022 - 8:30am to 5:00pm",8.5,0,8.5,0,0,0,0,0,5.99,5.99,01/11/2022 - 8:30am to 5:00pm,8.5,01/11/2022 - 8:44am to 5:00pm,8.5,0,0,0,0,0,0,0,5.99,5.99,0,KIDZ Academy - Cuckfield
177412-240496,240496,GOERING,"Goering, Minnie",0.00%,"Tuesday, 1 November 2022 - 8:30am to 3:00pm",6.5,0,6.5,0,0,0,0,0,4.55,4.55,01/11/2022 - 8:30am to 3:00pm,6.5,01/11/2022 - 8:43am to 2:55pm,6.5,0,0,0,0,0,0,0,4.55,4.55,0,Norto5 KIDZ - West End Farm
210535-240572,240572,HILL,"Hill, Jensen",0.00%,"Tuesday, 1 November 2022 - 8:30am to 4:00pm",7.5,5,2.5,43.5,0,0,0,0,0,43.5,01/11/2022 - 8:30am to 4:00pm,7.5,01/11/2022 - 8:54am to 3:53pm,2.5,5,43.5,0,0,0,0,0,0,43.5,0,Norto5 KIDZ - West End Farm
233268-241031,241031,REEVE,"Reeve, Oscar",5.00%,"Tuesday, 1 November 2022 - 8:30am to 5:30pm",9,9,0,81,0,-4.05,0,0,5.99,82.94,01/11/2022 - 8:30am to 5:30pm,9,01/11/2022 - 8:47am to 5:21pm,0,9,81,0,0,-4.05,0,0,5.99,82.94,0,Norto5 KIDZ - West End Farm
233844-241979,241979,GEORGE,"George, Milo",0.00%,"Tuesday, 1 November 2022 - 8:30am to 12:30pm",4,4,0,38.6,0,0,0,0,4.75,43.35,01/11/2022 - 8:30am to 12:30pm,4,01/11/2022 - 8:44am to 12:32pm,0,4,38.6,0,0,0,0,0,4.75,43.35,0,KIDZ Academy - Cuckfield
171181-239955,239955,BAILEY01,"Bailey , Benjamin ",0.00%,"Tuesday, 1 November 2022 - 9:00am to 5:00pm",8,1.5,6.5,13.05,0,0,0,0,0,13.05,01/11/2022 - 9:00am to 5:00pm,8,01/11/2022 - 9:10am to 4:30pm,8,0,0,0,0,0,0,0,0,0,-13.05,KIDZ Academy - Cuckfield
223386-239971,239971,BALDWIN,"Baldwin, Lainey",0.00%,"Tuesday, 1 November 2022 - 9:00am to 2:00pm",5,0,5,0,0,0,0,0,0,0,01/11/2022 - 9:00am to 2:00pm,5,01/11/2022 - 8:54am to 1:59pm,5,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
239563-240050,240050,BOBOC,"Boboc, Maya",0.00%,"Tuesday, 1 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,0,0,01/11/2022 - 9:00am to 3:00pm,6,01/01/2000 - 12:00am,6,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
205234-240066,240066,BRADFORD,"Bradford, Elliot",0.00%,"Tuesday, 1 November 2022 - 9:00am to 4:00pm",7,0,7,0,0,0,0,0,0,0,01/11/2022 - 9:00am to 4:00pm,7,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - West End Farm
220334-240081,240081,BRAMALL,"Bramall , Teddy ",0.00%,"Tuesday, 1 November 2022 - 9:00am to 6:00pm",9,9,0,0,0,0,0,0,0,0,01/11/2022 - 9:00am to 6:00pm,9,01/11/2022 - 8:07am to 4:58pm,0,9,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - West End Farm
231085-240300,240300,DORMER,"Dormer, Athena",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,01/11/2022 - 9:00am to 3:00pm,6,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
231072-240321,240321,DORMER,"Dormer, Leo",5.00%,"Tuesday, 1 November 2022 - 9:00am to 3:00pm",6,6,0,60,0,-3.21,4.2,0,0,60.99,01/11/2022 - 9:00am to 3:00pm,6,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-60.99,KIDZ Academy - Lindfield
225198-240332,240332,EAGER,"Eager, Eloise ",0.00%,"Tuesday, 1 November 2022 - 9:00am to 4:30pm",7.5,0,7.5,0,0,0,0,0,1.44,1.44,01/11/2022 - 9:00am to 4:30pm,7.5,01/11/2022 - 9:17am to 4:26pm,7.5,0,0,0,0,0,0,0,1.44,1.44,0,Norto5 KIDZ - West End Farm
210826-240557,240557,HARRISON,"Harrison, Fletcher",0.00%,"Tuesday, 1 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,0,0,01/11/2022 - 9:00am to 3:00pm,6,01/11/2022 - 9:10am to 3:00pm,6,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Cuckfield
220950-240605,240605,HUGGINS,"Huggins, Gracie-Marie",0.00%,"Tuesday, 1 November 2022 - 9:00am to 12:00pm",3,0,3,0,0,0,0,0,0,0,01/11/2022 - 9:00am to 12:00pm,3,01/11/2022 - 9:01am to 12:00pm,3,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - West End Farm
196952-240700,240700,LAWRENCE01,"John-Donegan, Marley",30.00%,"Tuesday, 1 November 2022 - 9:00am to 5:00pm",8,8,0,0,0,0,0,0,0,0,01/11/2022 - 9:00am to 5:00pm,8,01/11/2022 - 9:07am to 5:02pm,0,8,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
239423-240727,240727,KAPOOR,"Kapoor, Ayaansh",0.00%,"Tuesday, 1 November 2022 - 9:00am to 12:00pm",3,3,0,30,0,0,0,0,0,30,01/11/2022 - 9:00am to 12:00pm,3,01/11/2022 - 10:46am to 11:57am,0,3,30,0,0,0,0,0,0,30,0,Norto5 KIDZ - Lindfield Lodge
227952-240782,240782,LAWSON,"Lawson, Sophie",0.00%,"Tuesday, 1 November 2022 - 9:00am to 5:00pm",8,8,0,80,0,0,0,0,0,80,01/11/2022 - 9:00am to 5:00pm,8,01/11/2022 - 9:29am to 5:01pm,0,8,80,0,0,0,0,0,0,80,0,Norto5 KIDZ - West End Farm
234414-240801,240801,MANTHORPE,"Manthorpe, Bobby",0.00%,"Tuesday, 1 November 2022 - 9:00am to 2:30pm",5.5,0,5.5,0,0,0,0,0,4.75,4.75,01/11/2022 - 9:00am to 2:30pm,5.5,01/11/2022 - 9:15am to 2:28pm,5.5,0,0,0,0,0,0,0,4.75,4.75,0,KIDZ Academy - Cuckfield
211085-240825,240825,MAURO-FOSSAT,"Mauro-Fossat, Kataleya",0.00%,"Tuesday, 1 November 2022 - 9:00am to 4:30pm",7.5,7.5,0,72.38,0,0,0,0,6.34,78.72,01/11/2022 - 9:00am to 4:30pm,7.5,01/11/2022 - 9:15am to 4:30pm,0,7.5,72.38,0,0,0,0,0,5.99,78.37,-0.35,KIDZ Academy - Cuckfield
174049-240881,240881,MULLER,"Muller Andrews, Edith",0.00%,"Tuesday, 1 November 2022 - 9:00am to 5:00pm",8,0,8,0,0,0,0,0,5.99,5.99,01/11/2022 - 9:00am to 5:00pm,8,01/11/2022 - 9:04am to 5:02pm,8,0,0,0,0,0,0,0,5.99,5.99,0,Norto5 KIDZ - Lindfield Lodge
210767-240897,240897,NAMANYA,"Namanya, Eskame",5.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,01/11/2022 - 9:00am to 3:30pm,6.5,01/11/2022 - 9:07am to 3:33pm,6,0.5,4.83,0,0,-0.26,0.34,0,4.55,9.46,9.46,KIDZ Academy - Lindfield
209103-240937,240937,PAGE,"Pedwell, Rosita",0.00%,"Tuesday, 1 November 2022 - 9:00am to 2:00pm",5,0,5,0,0,0,0,0,0,0,01/11/2022 - 9:00am to 2:00pm,5,01/01/2000 - 12:00am,5,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
162357-241072,241072,SEAR,"Sear, Harvey",5.00%,"Tuesday, 1 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,4.55,4.55,01/11/2022 - 9:00am to 2:30pm,5.5,01/11/2022 - 9:13am to 2:31pm,5.5,0,0,0,0,0,0,0,4.55,4.55,0,KIDZ Academy - Lindfield
228134-241132,241132,STEYNOR,"Steynor, Josephine",0.00%,"Monday, 31 October 2022 - 9:00am to 2:00pm",5,5,0,50,0,0,3.5,0,2.25,55.75,01/11/2022 - 9:00am to 2:30pm,5.5,01/11/2022 - 9:01am to 2:30pm,0,5.5,55,0,0,0,3.85,0,2.25,61.1,5.35,Norto5 KIDZ - Lindfield Lodge
208635-241171,241171,SULLIVAN,"Sullivan, Luke",0.00%,"Wednesday, 2 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,4.55,4.55,01/11/2022 - 9:00am to 3:00pm,6,01/01/2000 - 12:00am,6,0,0,0,0,0,0,0,4.55,4.55,0,Norto5 KIDZ - Lindfield Lodge
234186-241313,241313,WELLING,"Welling, Chelsea",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,01/11/2022 - 9:00am to 12:00pm,3,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
227494-241345,241345,WINTER,"Winter, Samuel",0.00%,"Tuesday, 1 November 2022 - 9:00am to 12:00pm",3,3,0,30,0,0,0,0,0,30,01/11/2022 - 9:00am to 12:00pm,3,01/11/2022 - 9:04am to 11:59am,0,3,30,0,0,0,0,0,0,30,0,Norto5 KIDZ - Lindfield Lodge
231340-241385,241385,WRAITH,"Wraith, Arthur ",0.00%,"Tuesday, 1 November 2022 - 9:00am to 4:00pm",7,7,0,70,0,0,0,0,2.25,72.25,01/11/2022 - 9:00am to 4:00pm,7,01/11/2022 - 9:10am to 4:00pm,0,7,70,0,0,0,0,0,2.25,72.25,0,KIDZ Academy - Cuckfield
242180-243004,243004,BAILEY_R,"Bailey, Ross",0.00%,"Tuesday, 1 November 2022 - 9:00am to 2:00pm",5,0,5,0,0,0,0,0,4.55,4.55,01/11/2022 - 9:00am to 2:00pm,5,01/11/2022 - 9:07am to 1:36pm,5,0,0,0,0,0,0,0,0,0,-4.55,KIDZ Academy - Lindfield
242303-243018,243018,BAKER_H,"Baker, Hamida",0.00%,"Tuesday, 1 November 2022 - 9:00am to 12:00pm",3,0,3,0,0,0,0,0,0,0,01/11/2022 - 9:00am to 3:00pm,6,01/11/2022 - 9:15am to 2:46pm,6,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
196461-243428,243428,ANDREWS02,"Ghochani-Andrews, Joey",5.00%,"Tuesday, 1 November 2022 - 9:00am to 3:00pm",6,0,6,0,0,0,0,0,0,0,01/11/2022 - 9:00am to 2:30pm,5.5,01/11/2022 - 9:07am to 2:31pm,5.5,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
234281-243918,243918,PROUDLOCK,"Proudlock, Elsie",0.00%,"Tuesday, 1 November 2022 - 9:00am to 12:00pm",3,0,3,0,0,0,0,0,0,0,01/11/2022 - 9:00am to 12:00pm,3,01/11/2022 - 8:54am to 11:56am,3,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - Lindfield Lodge
242609-243984,243984,R_BOWERS,"Rutherford-Bowers, Elsie-Rae",0.00%,"Tuesday, 1 November 2022 - 9:00am to 12:00pm",3,0,3,0,0,0,0,0,0,0,01/11/2022 - 9:00am to 12:00pm,3,01/11/2022 - 9:09am to 12:00pm,3,0,0,0,0,0,0,0,0,0,0,Norto5 KIDZ - West End Farm
242742-244314,244314,WORRALL,"Worrall, Alfred",0.00%,"Tuesday, 1 November 2022 - 9:00am to 1:00pm",4,4,0,34.8,0,0,2.44,0,4.55,41.79,01/11/2022 - 9:00am to 1:00pm,4,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-41.79,KIDZ Academy - Lindfield
244373-244384,244384,TURNER02,"Turner, Romey-Lynn",0.00%,"Tuesday, 1 November 2022 - 9:00am to 5:00pm",8,8,0,80,0,0,0,0,3.41,83.41,01/11/2022 - 9:00am to 5:00pm,8,01/11/2022 - 9:10am to 4:43pm,0,8,80,0,0,0,0,0,3.41,83.41,0,KIDZ Academy - Cuckfield
244374-244389,244389,TURNER02,"Turner, Charles",5.00%,"Tuesday, 1 November 2022 - 9:00am to 5:00pm",8,0,8,0,0,0,0,0,5.99,5.99,01/11/2022 - 9:00am to 5:00pm,8,01/11/2022 - 9:10am to 4:43pm,8,0,0,0,0,0,0,0,5.99,5.99,0,KIDZ Academy - Cuckfield
244361-244439,244439,TERRY,"Terry, Jude",0.00%,"Tuesday, 1 November 2022 - 9:00am to 12:00pm",3,3,0,30,0,0,2.1,0,0,32.1,01/11/2022 - 9:00am to 12:00pm,3,01/01/2000 - 12:00am,0,0,0,0,0,0,0,0,0,0,-32.1,Norto5 KIDZ - Lindfield Lodge
244593-244602,244602,BRYANT,"Bryant, Miley Beau",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,01/11/2022 - 9:00am to 2:00pm,5,01/11/2022 - 9:00am to 1:56pm,5,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Cuckfield
242510-245089,245089,ABBONDANZA,"Abbondanza, Leonardo ",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,01/11/2022 - 9:00am to 3:00pm,6,01/11/2022 - 9:10am to 3:00pm,6,0,0,0,0,0,0,0,4.55,4.55,4.55,KIDZ Academy - Cuckfield
244814-246470,246470,FATONA,"Fatona, Grace ",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,01/11/2022 - 9:00am to 2:00pm,5,01/11/2022 - 8:55am to 2:00pm,0,5,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
223165-240586,240586,HOWARD,"Howard, Ryan",5.00%,"Tuesday, 1 November 2022 - 9:30am to 12:00pm",2.5,0,2.5,0,0,0,0,0,0,0,01/11/2022 - 9:30am to 12:00pm,2.5,01/11/2022 - 9:31am to 11:56am,2.5,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Lindfield
228122-240628,240628,ISAAC,"Isaac, Millie",0.00%,"Tuesday, 1 November 2022 - 8:00am to 3:30pm",7.5,7.5,0,75,0,0,0,0,2.25,77.25,01/11/2022 - 9:30am to 3:30pm,6,01/11/2022 - 10:04am to 3:33pm,0,6,60,0,0,0,0,0,2.25,62.25,-15,Norto5 KIDZ - West End Farm
228460-240637,240637,JACKMAN,"Jackman, Harper",0.00%,"Tuesday, 1 November 2022 - 9:30am to 11:30am",2,2,0,17.4,0,0,1.22,0,0,18.62,01/11/2022 - 9:30am to 11:30am,2,01/11/2022 - 9:26am to 11:29am,0,2,17.4,0,0,0,1.22,0,0,18.62,0,KIDZ Academy - Cuckfield
234418-240980,240980,PILLAI,"Pillai, Viaan",0.00%,"Saturday, 1 January 2000 - 12:00am",0,,0,,,,,,0,,01/11/2022 - 9:30am to 1:30pm,4,01/11/2022 - 9:40am to 1:35pm,2.5,1.5,13.05,0,0,0,0,0,4.55,17.6,17.6,KIDZ Academy - Lindfield
227958-241092,241092,SMITH07,"Smith, Darcie",5.00%,"Tuesday, 1 November 2022 - 9:30am to 2:30pm",5,0,5,0,0,0,0,0,0,0,01/11/2022 - 9:30am to 2:30pm,5,01/11/2022 - 9:27am to 2:28pm,5,0,0,0,0,0,0,0,0,0,0,KIDZ Academy - Cuckfield
193866-242597,242597,WOODWARD,"Woodward, Thea",0.00%,"Tuesday, 1 November 2022 - 9:30am to 3:00pm",5.5,0,5.5,0,0,0,0,0,4.55,4.55,01/11/2022 - 9:30am to 3:00pm,5.5,01/01/2000 - 12:00am,5.5,0,0,0,0,0,0,0,4.55,4.55,0,Norto5 KIDZ - West End Farm
193661-240092,240092,FIELD02,"Bridgman, Charlotte",0.00%,"Tuesday, 1 November 2022 - 10:00am to 3:30pm",5.5,0,5.5,0,0,0,0,0,4.55,4.55,01/11/2022 - 10:00am to 3:30pm,5.5,01/11/2022 - 10:00am to 3:30pm,5.5,0,0,0,0,0,0,0,0,0,-4.55,Norto5 KIDZ - West End Farm
